annotation,labels,GRNTI
en la etapa actual de desarrollo del estado ruso la importancia del apoyo legislativo y el reconocimiento público de la transformaciones en curso la regulación social y legal efectiva de la relaciones públicas está aumentando objetivamente un mayor desarrollo de un estado social legal e imposible sin una formación adecuada del marco legal necesario para un nuevo sistema de administración pública lo que a su vez e imposible sin la reglas apropiadas para redactar actos legales reglamentarios basado en el análisis del decreto del gobierno de la federación rusa del de agosto de no sobre la aprobación de la reglas para la preparación de actos legales normativos de los órganos ejecutivos federales y su registro estatal los autores del artículo vienen a la conclusión de que e necesario mejorar aún más el marco normativo para la elaboración de leyes por parte de los órganos ejecutivos federales con el fin de crear un sistema unificado de la legislación rusa,6,Государство И Право. Юридические Науки
en el contexto del desarrollo de los procesos de globalización en el mundo se da una internacionalización del orden jurídico interno la constitucionalización de la relaciones internacionales y el derecho internacional cobra gran importancia el trabajo considera el proceso de constitucionalización del derecho internacional como la consolidación de los valores humanos universales en el derecho interno en el espíritu de la idea del académico t ya khabriyeva a la luz de la relaciones internacionales modernas se muestra que la constitucionalización del derecho internacional debe basarse en la fuentes del derecho interno que debe tener en cuenta la experiencia política y jurídica mundial y los principios doctrinarios de la ciencia jurídica nacional la idea de i kant que fundamentan la idea de paz y forman la base de los documentos políticos y jurídicos internacionales más importantes incluidos los de derechos humanos siguen vigentes hoy y son de indudable interés para la teoría y la práctica modernas del derecho internacional y la relaciones internacionales en el que vemos el significado práctico del imperativo categórico de kant en el derecho,6,Государство И Право. Юридические Науки
en marzo de se celebró en la universidad de omsk una conferencia científica sobre los problemas de la etnogénesis y la historia étnica de los samoyedos,2,История. Исторические Науки
el artículo está dedicado a la consideración de los problemas clave del desarrollo de la actividad inversora de la región y la propuesta de direcciones para su solución,5,Экономика И Экономические Науки
el artículo discute el aspecto económico de la vida social de la persona determina el grado de posible influencia de los factores económicos en el aumento del número de persona solitarias en el espacio social urbano y trata de predecir y evaluar sus consecuencias futuras tanto para la sociedad como para el medio ambiente economía,11,Психология
el artículo examina el problema del desarrollo de habilidades de fuerza en hombre jóvenes de a años en clases de educación física mediante el método de entrenamiento circular en un ambiente escolar,10,Народное Образование. Педагогика
el artículo fundamenta los fundamentos teóricos y metodológicos para la reestructuración de los sistemas de información estatales que operan en los distintos niveles de gobierno,16,Информатика
el documento presenta los resultados del análisis de la dinámica espacial del rendimiento del cultivo de la rotación de cultivos de granos y pasto en el contexto del compost multipropósito en el campo de pruebas agroecológicas vniimz se reveló que las condiciones del paisaje y el efecto posterior del soc afectan significativamente la productividad de la plantas la aplicación de los conocimientos adquiridos en la práctica permitirá desarrollar medidas para adaptar la ubicación de los cultivos dentro del paisaje agrícola,49,Сельское И Лесное Хозяйство
el objeto de la investigación son los conceptos y principios de la gestión cognitiva en el espacio de la información el objetivo del trabajo e aumentar la eficiencia del funcionamiento de sistemas organizativos y técnicos complejos incluidos los sistemas de información en la industria educativa basados en el uso de modelado y gestión semántica cognitiva se han desarrollado y propuesto los conceptos de control cognitivo en el espacio de la información se dan a conocer los principios fundamentales del control cognitivo en el espacio de la información se introducen los conceptos teóricos y los fundamentos de los modelos de información especializados utilizados en la gestión cognitiva construcción de la información situación de la información interacción de la información impacto de la información posición de la información se introducen nuevos conceptos y características gestión indicadores en el espacio de información medidas cuantitativas y reguladores de la cognición en el manejo de sistemas ergáticos complejos especialmente en el campo intensivo en ciencia de la actividad educativa,21,Кибернетика
el artículo trata el problema de la formación automatizada de equipos de proyecto la red semántica se utiliza como modelo de información se exploran la principales disposiciones de la web semántica y sus conceptos utilizados para implementar el modelo de información se ha desarrollado e implementado un algoritmo para la resolución automática de problemas utilizando la idea básicas de la web semántica,36,Автоматика. Вычислительная Техника
se muestra la influencia de la alfalfa en la rotación de cultivos sobre la composición granulométrica densidad aparente porosidad del horizonte superior del suelo así como sobre el contenido de metales pesados en la producción del cultivo se observó un complejo efecto de mejora de este cultivo que se potencia con la aplicación de fertilizantes minerales,49,Сельское И Лесное Хозяйство
el artículo revela la posibilidades de desarrollar habilidades de coordinación en jóvenes de a años que participan en clases de educación física utilizando ejercicios imitativos del esquí en el curso del experimento pedagógico se descubrió que los conjuntos experimentales de ejercicios desarrollados por nosotros son bastante efectivos ya que el aumento en todos los indicadores de prueba en el grupo experimental e mayor que en el grupo de control,10,Народное Образование. Педагогика
se han desarrollado recomendaciones para mejorar los modos de operación de la unidades de caldera que utilizan gas naturales y secundarios como combustible,32,Энергетика
desarrollo de una metodología para evaluar el espesor de la capa depositada de una sustancia similar a la brea en la cavidades internas de la máquinas sopladoras de gas y desarrollo de recomendaciones prácticas para el lavado de máquinas sin accidentes,33,Электротехника
el sitio de una capa fermennoye ozero está ubicado en el valle de middle lena de tuymaada en el curso de su investigación se descubrió que contiene un complejo puro sin mezclar de la cultura mesolítica de sumnaga del al milenio ante de cristo la colección del monumento contiene herramientas de piedra espacios en blanco fragmentos de huesos pequeños y piezas de arcilla el conjunto de herramientas está representado por cuatro tipos principales revestimientos cortadores raspadores cortadores los espacios en blanco de piedra están representados por núcleos lascas fragmentos placas astillas laminares y guijarros partidos los núcleos se dividen en extremos prismáticos y cónicos,2,История. Исторические Науки
la gestión de cualquier organización especialmente frente a una mayor competencia e un sistema complejo que incluye muchos aspectos este artículo analiza el impacto de la decisiones gerenciales en la competitividad de una organización,61,Организация И Управление
la política de innovación de la empresa e la definición de los objetivos del desarrollo a largo plazo de la empresa y la medidas diseñadas para lograrlos sobre la base de la innovaciones desarrolladas así como la creación de un mecanismo para apoyar programas y proyectos prioritarios de la empresa,5,Экономика И Экономические Науки
se han estudiado las características de la estacionalidad del trabajo en el sector agrícola de la región se han aclarado los factores que reducen la estacionalidad de la producción agrícola,49,Сельское И Лесное Хозяйство
la colección se preparó sobre la base de los materiales del viii congreso lingüístico internacional el lenguaje y el mundo yalta del al de octubre organizado por el instituto republicano de educación pedagógica de posgrado de crimea la colección incluye artículos de especialistas en el campo de la lingüística funcional análisis e interpretación de texto y discurso geolingüística semántica y métodos de enseñanza de la disciplinas filológicas la publicación está destinada a filólogos historiadores sociólogos y una amplia gama de lectores,12,Языкознание
la contaminación de los combustible fósiles y las tierras naturales degradadas están elevando la temperatura de la tierra la evidencia de la causa del calentamiento global e clara al igual que sus consecuencias los impactos económicos del cambio climático ya son evidentes y amenazan los logros del desarrollo los fenómenos meteorológicos extremos han provocado graf sequías en asia central ola de calor e incendios forestales en rusia e inundaciones en el sureste de europa la emisiones no controladas tendrán un costo económico creciente y un riesgo cada vez mayor para la persona hay un caso claro para que todas la economías del mundo avancen hacia un camino de crecimiento bajo en carbono sin embargo la acción climática ha sido inadecuada especialmente en europa del este y asia central eca con perspectivas inciertas de un acuerdo climático global este informe identifica las acciones que los gobiernos de la región pueden tomar para reducir las huellas de carbono de sus economías muestra que muchas de estas acciones se amortizarán con creces y con bastante rapidez si se consideran los beneficios indirectos como una mejor salud y una mayor competitividad,32,Энергетика
esta colección incluye materiales de la conferencia tradicionalmente celebrada en la universidad pedagógica estatal de yaroslavl en forma de lecturas pedagógicas se presentan los resultados de los estudios de varias escuelas científicas,20,Математика
se presentan los resultados del trabajo sobre el desarrollo y mantenimiento de una base de datos de resultados de la actividad intelectual ria en el ministerio de agricultura de rusia se analizan los principales documentos legislativos de la federación rusa sobre la implementación por parte de los clientes estatales de la gestión de derechos a ria de fine civiles militares especiales y duales se considera el procedimiento para tomar una decisión sobre la enajenación gratuita del derecho exclusivo de ria y o el otorgamiento de una licencia no exclusiva de uso de ria a terceros sobre la terminación anticipada de la patente de ria se propone un sistema automatizado para contabilizar ria del ministerio de agricultura de rusia,6,Государство И Право. Юридические Науки
se consideran los fundamentos teóricos y metodológicos del proceso de desarrollo de la cooperación agrícola en la estructura del complejo agroindustrial,49,Сельское И Лесное Хозяйство
el séptimo número de la publicación electrónica boletín del monitoreo ruso de la situación económica y la salud de la población rlms hse incluye artículos preparados sobre la base de datos de oleadas de la encuesta de hogares del panel rlms hse los autores se centran en varios aspectos de la adaptación social y económica de los rusos a las condiciones de la crisis económica la salud y el bienestar de los niños y adolescentes la difusión y práctica del uso de internet en rusia los materiales propuestos reflejan el punto de vista de los autores y están abiertos a discusión y adiciones la publicación está dirigida a investigadores docentes estudiantes y cualquier persona interesada en los resultados del monitoreo rlms hse,3,Социология
el objeto de la investigación son la modernas tecnologías de la información utilizadas en la enseñanza de lenguas extranjeras el propósito del estudio e identificar los principales problemas y perspectivas asociados con la participación de estas tecnologías en la enseñanza de una lengua extranjera indicando formas de resolver los problemas identificados y lograr los resultados deseados dentro de la perspectivas identificadas como resultado del estudio realizado durante el se realizó un análisis del rol oportunidades y problemas del uso de la modernas tecnologías de la información en la práctica de la enseñanza de una lengua extranjera se considera la naturaleza de la participación de la tecnología informática moderna por parte de maestro y estudiantes en el proceso educativo en un idioma extranjero en el marco del trabajo en el aula y extracurricular se hizo un estudio de la oportunidades que se presentan para docentes y estudiantes como resultado del uso de la modernas tecnologías de la información en la enseñanza de una lengua extranjera al mismo tiempo se prestó especial atención a los problemas surgidos al respecto tanto por la falta de determinados medios técnicos como por su insuficiente o incorrecta utilización y la posibles formas de neutralizar estos problemas,10,Народное Образование. Педагогика
los problemas de la tenencia semi libre de animales en la condiciones de la taiga medium en el norte europeo de rusia no solo no se han resuelto sino que los investigadores ni siquiera los plantearon debido a la ausencia de tal tenencia de animales hasta los primeros resultados del estudio de la nutrición del ciervo rojo europeo en semilibertad se obtuvieron solo en los últimos años belkin et al belkin et al después del ciervo rojo europeo en la primavera de se llevó a cabo la primera experiencia de liberación y cría en semilibertad de ciervos en la república de karelia tuvimos la oportunidad de estudiar la características de la base forrajera natural y la nutrición del maral en los primeros años de crianza de los animales y compararlas con materiales obtenidos previamente sobre el ciervo rojo europeo el lugar de liberación de los ciervos e la región norteña de ladoga distrito de sortavalsky el coto de caza black stone esta es una empresa diversificada que incluye en sus actividades no solo la organización y conducción de la caza sino también la tenencia en semilibertad de ungulados en corrales extensos la cría de especies raras y ornamentales en el zoológico el negocio del turismo,25,Биология
el documento presenta un análisis comparativo de los resultados de la ª ola del monitoreo ruso de la situación económica y la salud de la población de la escuela superior de economía de la universidad nacional de investigación rlms hse que reflejó la situación de los hogares rusos en la participación de los salarios en la estructura general del ingreso la participación de los ingresos de los pagos de transferencias del gobierno la producción doméstica y el sector informal por el contrario siguió creciendo el ligero crecimiento de los ingresos real de los hogares de los tres quintiles inferiores y la continua caída de los ingresos de los hogares de los dos quintiles superiores han vuelto a reducir la desigualdad socioeconómica a finale de el gasto total mensual de los hogares cayó un en marcado contraste con cuando el gasto real se estancó en se interrumpió la tendencia descendente de largo plazo en la participación del gasto en alimentos en la estructura total del gasto de los hogares,3,Социология
los mapas estratégicos involucran el desarrollo de sistemas apropiados de cuadros de mando integrales que hacen posible evaluar con precisión y rapidez el estado de un sistema económico en desarrollo en cualquier punto elegido en la trayectoria de su movimiento se elaboró un sistema equilibrado de indicadores de desarrollo regional capaz de ser una herramienta de estrategia,5,Экономика И Экономические Науки
la colección incluye informes sobre una serie de temas de actualidad en la humanidades los problemas de la educación moderna se consideran en el contexto de la cultura la formación psicológica y pedagógica general del futuro maestro la formación de sus conocimientos y habilidades profesionales así como los problemas de la lingüística los métodos de enseñanza de lenguas extranjeras y la investigación interdisciplinaria,10,Народное Образование. Педагогика
el artículo trata cuestiones teóricas y metodológicas del desarrollo de la relaciones agrarias en el complejo regional se presta atención principal a la cooperación agrícola,49,Сельское И Лесное Хозяйство
la colección fue preparada por el departamento de economía y gestión de empresas y complejos industriales de la universidad estatal de economía de san petersburgo la colección cubre una amplia gama de problemas relacionados con el desarrollo de una economía de mercado la planificación y gestión de actividades empresariales el potencial innovador y de inversión de la empresas la formación de un sistema de seguimiento financiero y económico la formación de market ahorro de recursos la políticas financieras y una serie de otros problemas la colección está destinada a científicos docentes estudiantes de posgrado de especialidades económicas,5,Экономика И Экономические Науки
el artículo analiza las designaciones de color colores desde el punto de vista de su uso para reflejar la imagen ortodoxa del mundo en el material de la obra de i s shmelev verano del señor,13,Литература. Литературоведение. Устное Народное Творчество
el artículo presenta un análisis de los factores socio psicológicos de la efectividad del emprendimiento los autores presentan los resultados de un estudio sobre una muestra rusa de empresarios exitosos y fracasos se consideran los factor sociopsicológicos identificados del éxito de la actividad empresarial el predominio de los motivos de la actividad conjunta sobre los motivos del propio bienestar el deseo de superioridad personal el prestigio,11,Психология
análisis anteriores de oscilaciones de intensidad de rayos x suaves en las descargas con presiones iniciales de hidrógeno de a mpa mostraron que podría deberse a cambios periódicos en el diámetro del canal de descarga en continuación de estos estudios se definió el diámetro de la zona actual los cambios experimentales en el diámetro corresponden a las estimaciones calculadas se estableció que el período de oscilación e proporcional a la raíz cuadrada del número atómico del material del alambre iniciador este hecho e un argumento de que las variaciones de diámetro del canal de descarga con los vapores metálicos están asociadas con la presión cinética y magnética alineada al pasar a la presión inicial de mpa que se crean por compresión adiabática aumenta la amplitud de la presión acústica en la pared de la cámara de descarga y el crecimiento de la fluctuaciones de voltaje en la descarga simultáneamente la amplitud de la fluctuaciones de presión en la par alcanza los mpa y el salto de tensión e de kv,22,Физика
los cambios en la sociedad moderna están ocurriendo muy rápidamente por lo que muchos científicos modernos argumentan que la personas creativas que crean valores económicos en el proceso de actividad creativa se convierten en el factor principal en el desarrollo exitoso de un país una región separada ya constituyen una nueva clase creativa la regiones dominadas por la clase creativa se están convirtiendo en centros de innovación y desarrollo el artículo da una breve revisión teórica del estudio del problema de la creatividad y la creatividad en psicología se presentan los resultados de un estudio del nivel de desarrollo de la creatividad de los escolares los estudiantes que se dedican a la creatividad artística tienen un mayor nivel de desarrollo de la creatividad,11,Психология
el artículo discute la características específicas de la influencia de la características psicológicas de una persona en el éxito y la eficacia de sus actividades profesionales la autoestima y la relaciones interpersonales adquieren especial significación en la estructura de la profesionalización de un individuo los detalles de la posición social de un empleado en un colectivo u organización laboral están determinados por la evaluación externa de la persona que lo rodean los colegas y el gerente la actitud positiva o negativa del entorno inmediato interviene en la formación de la autoestima profesional del personal de sus capacidades y habilidades debido a esto la productividad de sus actividades comienza a depender de la aprobación y el apoyo externo sin embargo la personalidad misma también crea los requisitos previos para la corrección y regulación de su comportamiento profesional su profesionalismo la autoestima positiva adquiere un importante carácter normativo en la actividades profesionales del personal estimulando su potencial creativo la relaciones interpersonales y comerciales que surgen en la organización corresponden en gran medida al modelo de interacción de mercado,11,Психология
la actividad física regular tiene un impacto positivo en la salud de los deportistas veteranos en edad de jubilación como mostró el estudio los deportistas veteranos en edad de jubilación que continuaron con la educación física después de dejar los deportes son menos susceptibles a las enfermedades del sistema cardiovascular,57,Физическая Культура И Спорт
el programa desarrollado y probado de jog recreativo con niños en edad preescolar ayuda a aumentar el nivel de desarrollo físico y condición física de los participantes así como a mejorar su salud,10,Народное Образование. Педагогика
el programa de cultura física es decir su parte teórica debe influir positivamente en el nivel de autoestima autoeducación y autodesarrollo de la niñas formar interés y conocimiento en el campo de la cultura física mejorar el rendimiento de calidad lo que da confianza a las niñas y motiva sus actividades para el éxito,10,Народное Образование. Педагогика
el artículo esboza algunos enfoques metodológicos para la realización de clases en la piscina con niños con lesiones del sistema nervioso central,56,Медицина И Здравоохранение
resumenla estructura electrónica de tres derivados de aza boro dipiridometano que contienen varios grupos de hidrocarburo en el átomo de boro se ha estudiado sobre la base de datos de espectroscopía de fotoelectrones ultravioleta y cálculos en la aproximación de la teoría del funcional de la densidad de acuerdo con los datos experimentales y calculados los orbitale moleculares más alto ocupados de antraceno acridina y los complejos estudiados tienen el mismo carácter para los tres compuestos estudiados se estableció la influencia de los grupos alquilo y fenilo como sustituyentes en la estructura electrónica se comparan los parámetros de la estructura electrónica de aza boro dipiridometano grupos fenilo en el átomo de boro y su análogo b dicetonato se muestra que en el rango de energía de hasta ev los resultados calculados se correlacionan con los espectros de fotoelectrones ultravioleta,24,Химия
se presenta una breve revisión de los resultados de los estudios de varias clases de complejos de quelatos de boro que contienen nitrógeno mediante espectroscopía de fotoelectrones ultravioleta y teoría funcional de la densidad el modelado químico cuántico de los efectos de sustitución del agente complejante los heteroátomos y los grupos funcionales en la posiciones α β y γ del anillo del quelato permitió establecer la características de la estructura electrónica de los complejos estudiados se encontró que la sustitución de heteroátomos en el ciclo del quelato no afecta significativamente la estructura del orbital molecular superior ocupado homo para los complejos de imidoilamidinato en contraste con los formazanatos y los b dicetonatos no hay una mezcla notable de los orbitale p de los anillos de quelato y benceno en los heterociclos de nitrógeno condensado se observa la estabilización de homo en ev y los orbitale p del ciclo del benceno en ev el homo del azaborondipiridometano sustituido se correlaciona con el orbital p del antraceno y la acridina lo que determina la estructura fina de la primera banda se muestra que en el rango de energía por debajo de ev los resultados calculados reproducen bien los intervalos de energía entre los estados ionizados de los complejos,24,Химия
se han estudiado los espectros infrarrojos de los complejos de acetilacetonato de difluoruro de boro y sus derivados sustituidos con halógeno f b aax x h cl br i en estado cristalino basado en cálculos de química cuántica por el método dft b lyp en el conjunto básico g d p se reveló la influencia de un sustituyente en la geometría y el campo de fuerza de la moléculas con base en los cálculos de vibraciones normales nc y distribución de energía potencial pet se realizó una asignación detallada de la bandas de absorción ir la bandas más sensibles a la naturaleza del sustituyente pertenecen a vibraciones con participación predominante de los enlaces cc y co del anillo así como algunas nc no características de baja frecuencia que involucran al átomo x interacciones intermoleculares en confirmación de los datos xrd tienen el mayor efecto sobre la bandas características del fragmento bf en el cm se dan la secuencias de desplazamientos de frecuencia de la bandas ir en la serie de sustituyentes correspondientes a estas interacciones,22,Физика
el artículo está dedicado al estudio de la estructura electrónica y la naturaleza orbital de la excitación luminiscente de una serie de cristales moleculares de fórmula general en ax donde en son cationes orgánicos e inorgánicos difenilguanidinio guanidinio y cesio n e el número de cationes ax aniones te iv y sb iii x átomos de halógeno cl o br la estructura electrónica de estos cristales moleculares se determinó a partir de los datos de la espectroscopia de fotoelectrones de rayos x de los niveles de núcleo y valencia y el modelado químico cuántico en el marco de la teoría funcional de la densidad en combinación con los datos obtenidos previamente del análisis de difracción de rayos x,22,Физика
xps y dft b lyp def tzvpp estudiaron el efecto de un ligando aromático adicional sobre la estructura electrónica de los bis acetilacetonatos de níquel ii y cobalto ii un análisis de la cargas de los átomos la geometría de los compuestos la distribución de la densidad electrónica y la interacción de los orbitale moleculares de la partes constituyentes del complejo permitió concluir que la unión del ligando neutro al bisquelato e iónico,24,Химия
los aductos de tris b dicetonatos eu acac phen y eu hfac phen se han estudiado mediante espectroscopia de vapor uve xps de la fase condensada y química cuántica se han establecido la estructura electrónica y las características de la naturaleza de los enlaces químicos en los aductos se determina la estructura geométrica de los compuestos estudiados en fase gaseosa se ha desarrollado una técnica para asignar las bandas de los espectros hei de fotoelectrones en fase gaseosa así como la región de valencia de los espectros de fotoelectrones de rayos x los cálculos de química cuántica en el marco de la teoría funcional de la densidad permitieron determinar los patrones de cambios en la estructura electrónica de los complejos de quelatos según la fluoración del ligando para estudiar el efecto de la molécula de fenantrolina en la estructura electrónica de anillos de quelato y analizar los efectos electrónicos causados por la sustitución de grupos metilo en ligandos por trifluorometilo,24,Химия
se ha llevado a cabo un estudio detallado del estado de los componentes de catalizadores de alta eficiencia para la oxidación a baja temperatura de monóxido de carbono pt ceo mediante espectroscopía de fotoelectrones de rayos x xps usando la calibración de precisión de los espectros con respecto a un estándar interno y el procedimiento para descomponer los espectros de ce d y pt f en dobletes elementales se determinaron la características de la interacción del platino con la red de óxido de cerio se demuestra que dependiendo de la calidad de la soluciones iniciales utilizando el método de coprecipitación e posible obtener tanto soluciones sólidas homogéneas de platino en la red de óxido de cerio como soluciones que contienen asociados poliatómicos de platino del tipo pto m se ha establecido que cuando se almacenan soluciones sólidas homogéneas de ptceox en aire a temperatura ambiente se produce una transición lenta de soluciones homogéneas al estado de soluciones con asociados de platino también estudiamos mezclas mecánicas de nanopartículas de platino metálico y óxido de cerio sintetizadas por ablación láser durante su calcinación en aire los resultados obtenidos sobre la base de los espectros de pt f confirman plenamente la especificidad de la interacción del platino con el óxido de cerio,24,Химия
el complejo cu ii ghk cu ii gly his lys glycyl histidyl lysine e de interés como péptido modelo para desarrollar una técnica para estudiar la estructura de los centros metálicos en proteínas en particular el centro de unión de cobre en β amiloide los espectros de absorción de rayos x se midieron para una solución acuosa de cu ii ghk la estabilidad del complejo bajo la acción de la radiación de rayos x se controló mediante espectroscopia óptica se consideraron modelos estructurales con diferente coordinación del centro de cobre construidos sobre la base de la estructura cristalográfica con base en el análisis de los espectros de absorción de rayos x teóricos de la estructuras construidas se eligieron do modelos óptimos para los modelos seleccionados se realizó la optimización de parámetros estructurales se ha establecido que el mejor acuerdo con el experimento lo muestra el espectro del modelo de cinco coordenadas con moléculas de agua en la posiciones ecuatorial y axial inferior con distancias cu o de y å respectivamente,24,Химия
resumense ha obtenido una serie de complejos de cu ni y mn basados en azometinas de formil pirona y formil cumarina con diaminopropanol un análisis de la estructura de los bordes de absorción de rayos x k xanes y exafs de los complejos de cu ni y mn utilizando tanto la transformada de fourier como la transformada de ondas hizo posible establecer los parámetros de la estructura atómica local y demostrar sin ambigüedades la formación de ambo estructuras diméricas y monoméricas para estos compuestos de coordinación se muestra que la posibilidad de formación de compuestos binucleares depende principalmente de la naturaleza del ligando puente y no depende del tipo de ligando de azometina polidentado pirona o cumarina los resultados estructurales obtenidos concuerdan bien con los datos de estudios magnetoquímicos de los complejos,24,Химия
se sintetizaron sistemas de nanocompuestos basados en compuestos semiconductores ternarios znsxse x de varias composiciones x en matrix dieléctricas de alúmina anódica nanoporosa aao mediante proyección térmica al alto vacío de una mezcla de polvos de zinc sulfuro y seleniuro se ha estudiado la influencia de la concentración atómica de la soluciones sólidas y los parámetros estructurales de la matriz plantilla aao en la estructura cristalina de los nanocompuestos sintetizados y el entorno atómico local de los átomos de zn y se,24,Химия
el artículo revela las características de la implementación del mecanismo de asociación público privada como una de la formas efectivas de integración de capital privado y público así como el alcance de dicha asociación en una economía de mercado,5,Экономика И Экономические Науки
se consideran las comunicaciones de market basadas en los materiales de la república de kalmykia,5,Экономика И Экономические Науки
el artículo trata de casos de cambio de actitud de un funcionario en relación con su trabajo con base en los siguientes parámetros el lugar formal del empleado en la jerarquía general de esta institución su estatus oficial el nivel de la cultura general del empleado,11,Психология
la evaluación del riesgo sigue siendo subjetiva a pesar de los avances tecnológicos es imposible calcular todos los matices a menudo debido a algún factor aleatorio imprevisto aumenta el riesgo de fracaso del éxito en este caso la organización incurre en una pérdida o pérdida financiera e importante calcular correctamente todos los resultados posibles e incluso si se desvía del cronograma esperado e importante contar con las ganancias de lo contrario el negocio fracasará,5,Экономика И Экономические Науки
el artículo describe los tipos estructurales y semánticos de fraseologismos fitónimos con un componente antropocéntrico que existen en los dialectos rusos en el territorio de la república de mordovia,12,Языкознание
se han estudiado aspectos teóricos y metodológicos del desarrollo sostenible del mercado de productos lácteos en la región,49,Сельское И Лесное Хозяйство
en el artículo con base en los factores y manifestaciones de deformación profesional identificados se consideran posibles direcciones para la prevención de la deformación profesional de la personalidad de los servidores públicos que se define como cambios negativos en la personalidad de un servidor público causados por el largo plazo de ejecución del mismo trabajo o provocado por contradicciones en el trabajo que afecten negativamente tanto a la eficiencia del trabajo realizado como a las diversas relaciones que se suscitan en el trabajo y fuera del trabajo,5,Экономика И Экономические Науки
contiene una presentación sistemática del curso del programa de estudios culturales los fundamentos del conocimiento científico y teórico sobre la teoría y la historia de la cultura mundial diccionarios de conceptos y listas breve de información sobre la figuras de la cultura mundial incluidas en los temas de los módulos materiales para clases prácticas y seminarios problemas de trabajo independiente controlado de los estudiantes se presenta el sistema de calificación de la evaluación de los conocimientos de los estudiantes propuesto por el autor así como temas de control vigentes y efectivos está destinado a estudiantes de especialidades humanitarias de escuelas secundarias de tiempo completo y cursos por correspondencia,9,Культура. Культурология
el programa de apoyo y arreglos de vida para antiguos alumnos se desarrolló sobre la base del programa de desarrollo de orfanatos de segunda generación en la ciudad de azov el programa de educación de nueva generación de acuerdo con el marco normativo y legal moderno para la educación y la crianza a nivel federal y regional el programa está diseñado para el período hasta e incluye la formación de un complejo de valores espirituales y morale y directrices filosóficas y metodológicas para todos los sujetos del proceso de apoyo y arreglo de vida que determinan la elección de formas y métodos de actividad la naturaleza de la relaciones con el entorno en el proceso de formación de la resiliencia de los alumnos y su calidad de vida,10,Народное Образование. Педагогика
los parechovirus se encuentran entre los patógenos humanos más comunes que son importantes en la patología infecciosa de los recién nacidos y niños en los primeros años de vida inicialmente descubiertos como enterovirus y en muchos aspectos similares a ellos en términos de manifestaciones clínicas de infección los virus echo y echo a finale del siglo xx con base en la características de la biología molecular fueron reclasificados como parechovirus humanos actualmente la especie parechovirus a y aislado en un género independiente parechovirus de la familia picornaviridae,56,Медицина И Здравоохранение
se consideran los conceptos básicos de trabajo en el sistema autocad de la empresa autodesk que automatiza la actividades de diseño y los medios para expandir el sistema,36,Автоматика. Вычислительная Техника
en la condiciones modernas el estudio de la características cualitativas de los conceptos de trabajo y,5,Экономика И Экономические Науки
el mercado inmobiliario puede verse como un conjunto de mecanismos que facilitan la transferencia de derechos de propiedad e intereses asociados fijando precios y asignando espacio entre diferentes usos de la tierra en competencia por otra parte el mercado inmobiliario e un conjunto de relaciones para la creación de nuevos objetos inmobiliarios así como con su explotación el mercado inmobiliario se puede representar como un conjunto de mercados locale regionales que difieren significativamente entre sí en términos de precios riesgo y efectividad de la inversiones en bienes raíces,5,Экономика И Экономические Науки
el lector presenta por primera vez muestras del folclore de canciones penitenciarias de los habitantes de la región de kemerovo grabadas durante la prácticas folclóricas por estudiantes y profesores del nfi kemsu anteriormente kuzgpa ngpi de a la notas a los textos contienen la información necesaria información sobre los recolectores intérpretes informantes lugar y época de redacción del texto bibliografía,13,Литература. Литературоведение. Устное Народное Творчество
el problema de la precocidad sigue siendo una de la tareas importantes del mejoramiento del trigo en casi toda las regiones de su cultivo este catálogo presenta los resultados de un estudio exhaustivo de accesiones de maduración temprana de trigo blando de primavera de la colección mundial de vir en varias zona ecológicas y geográficas de rusia y la antigua urss con el fin de identificar la fuentes más valiosas de esta característica al llevar a cabo este trabajo la tarea fue estandarizar los enfoques para el estudio integral de la mejores muestras de la colección mundial los experimentos involucraron a todas la estaciones experimentales y puntos fuertes que trabajan con trigo blando de primavera estudio de campo así como a varios laboratorios metodológicos del instituto y de la red experimental análisis de laboratorio para rasgos importantes para el mejoramiento el equipo de autores agradece al dr s x ciencias vi krivchenko director de vir en por cuya iniciativa y apoyo se llevó a cabo un estudio exhaustivo de muestras de trigo de primavera de maduración temprana la selección del material fuente la formulación de los objetivos de la investigación y su organización se llevaron a cabo bajo la dirección del dr biol ciencias a f merezhko,25,Биология
el egg del reino unido está encantado de ser coanfitrión de esta reunión internacional conjunta con isgedr para compartir investigaciones y desarrollos clínicos en este campo altamente dinámico y en rápida evolución de la genómica en oftalmología esta reunión representa una oportunidad única para establecer y desarrollar relaciones de trabajo y colaboraciones dentro de la comunidad de genética oftálmica en todo el mundo y presentará un programa variado y atractivo de presentaciones de científicos médicos e investigadores de vanguardia en el campo entre otras cosas la oftalmología está emergiendo a la vanguardia de la investigación de la terapia génica en todo el mundo con una serie de ensayos de fase inicial que se abren este año en el reino unido por lo que este e un momento muy emocionante y único para quienes trabajan en este campo,56,Медицина И Здравоохранение
diseñado para la formación inicial en diseño automatizado de elementos basado en el sistema autocad contiene tareas individuales del campo de la ingeniería mecánica por lo que tiene valor práctico,36,Автоматика. Вычислительная Техника
el propósito de este estudio e desarrollar y mejorar una metodología con base científica para la evaluación integral del potencial de los recursos humanos de una institución de educación superior en el marco de la modernización de la actividades educativas la monografía se basa en un extenso material estadístico que contribuye a la comprensión creativa de la práctica de la evaluación cualitativa y cuantitativa del potencial de los recursos humanos de la universidad,5,Экономика И Экономические Науки
