,annotation,GRNTI
70,"В статье сделан акцент на попытке описать эффект чередования температур плавления в гомологических рядах на примере температур плавления алканов нормального строения из системы отсчета концепции вращательного движения молекул в жидкости. В существующей литературе наличие отдельных последовательностей температур плавления четных и нечетных гомологов обычно объясняют эффектами упаковки, при которых из-за разной симметрии четные и нечетные представители кристаллизуются с разной плотностью кристаллической решетки. Однако такое поведение можно объяснить и различием энтропий вращательного движения молекул в жидкой фазе, которое наблюдается из-за разного положения оси вращения для четных и нечетных гомологов. Теоретически предсказанная разница моментов инерции для молекул с четным и нечетным числом атомов углерода в цепи была подтверждена путем расчета моментов инерции молекул н-алканов, для которых координаты атомов были оптимизированы с использованием расчетов по теории функционала плотности. Пожалуйста, цитируйте эту статью как:",31.15. Химия / Физическая химия
71,"Рассмотрена самопроизвольная перегруппировка (дисмутация) дихлорангидридов фосфористой кислоты (арилдихлорфосфитов) в хлорангидриды (диарилхлорфосфиты) с отделением треххлористого фосфора. Исходные вещества имели в составе в качестве ароматических радикалов фенил, 1- и 2-нафтолы. Выявлены основные закономерности дисмутации арилдихлорфосфитов и определены базовые факторы, оказывающие влияние на время процесса. Проведено сравнение параметров дисмутации арилдихлорфосфитов с выявленными ранее закономерностями для аналогичного процесса с участием диамидоэфиров фосфористой кислоты, содержащих фенильный и нафтильные заместители в качестве эфирного компонента. Осуществлены расчеты термодинамических функций состояния (стандартных энтальпий образования ΔfH0298 и энтропий S0298 для участников дисмутации, рассчитаны стандартные значения энергии Гиббса реакций ΔrG0298. Расчеты проведены без учета влияния растворителя и для случая стандартных условий, как и на аналогичных системах --- диамидоэфирах фосфористой кислоты. На основании расчетов показана термодинамическая возможность осуществления дисмутации арилдихлорфосфитов при сравнительно низких значениях температуры. Использование полуэмпирического метода расчета (RM1) позволило установить наиболее низкоэнергетические конформации образующихся в результате дисмутации диарилхлорфосфитов и показать их принципиальное различие",31.21. Химия / Органическая химия
72,"Интерес к промышленному производству биомассы растений и микроводорослей для биотоплива и биопродуктов стимулировал исследования физиологии микроводорослей и механизмов синтеза и накопления ценных биомолекул в клетках водорослей. Одними из наиболее изученных биомолекул для коммерческого применения являются нейтральные липиды и каротиноиды. Однако до сих пор недостаточно изучен механизм влияния различных факторов внешней среды, в том числе применения индукторов, на биосинтез и накопление этих молекул. Отчасти отсутствие таких знаний связано с ограниченностью техники исследования. Рамановская спектроскопия — один из передовых методов исследования физиологии клеток, который может заполнить некоторые пробелы в нашем понимании таких процессов. Современные методы, используемые в представленных работах, показывают преимущества и другие существенные особенности метода применительно к растениям (главным образом, микроводорослям) и другим видам/объектам. Установлено, что использование субстрата позволяет усилить сигнал КР при разбавлении пробы в 105—106 раз, при концентрации вещества 10—9 моль/л. В условиях SERS (т. е. при смешивании коллоидов серебра с образцом крови) появляются маркеры гем, в то время как в нормальных условиях комбинационного рассеяния усиление резонанса позволяет непосредственно наблюдать особенности β-каротина. Это подчеркивает универсальность рамановского метода и перспективы для биологии и клинической химии.",34. Биология
73,"Было исследовано влияние термической и химической модификации на каталитическую активность иллит-каолинитовой глины (полученной из Букиттингги, Западная Суматра) при переэтерификации пальмового масла. Характеристика с помощью XRD, XRF и FTIR показала небольшое изменение в составе кристаллической фазы и молярном соотношении Si/Al после прокаливания такой глины при 450°C. Рентгенофазовые измерения также подтверждают, что после обработки двумя солями никеля природная глина поглощает больше сульфата никеля, чем нитрата, а температура играет важную роль в увеличении производительности глины при загрузке никеля примерно в 2 раза больше при более высокой температуре. Все материалы на основе глины, приготовленные в этом исследовании, были проверены на их каталитическую активность и селективность в переэтерификации пальмового масла с получением метилового эфира жирной кислоты (МЭЖК) с использованием ранее описанной процедуры. Было обнаружено, что химическая модификация образцов глины сульфатом и нитратом никеля повышает каталитическую эффективность глины в производстве МЭЖК с 38 до примерно 60 %, в то время как термическая обработка при 450 °C дает несколько более высокие характеристики до примерно 67 %. С точки зрения селективности все катализаторы на основе глины в этом исследовании давали почти одинаковое количество насыщенных и ненасыщенных МЭЖК.",02. Философия
74,"В работе получены коэрцитивные априорные оценки решений краевой задачи типа задачи Дирихле в полосе для одного вырождающегося эллиптического уравнения высокого порядка, а также доказана теорема существования и единственности решения таких задач. Уравнение содержит весовые операторы, представляющие собой суперпозицию оператора умножения на функцию, которая обращается в нуль на границе, и оператора дифференцирования. На границе рассматриваются условия типа условий Дирихле. Оценки получены в специальных весовых пространствах типа пространств С. Л. Соболева.",27. Математика
75,В данной работе рассматривается уравнение Лакшманана-Порсезиана-Даниэля (ЛПД). Это уравнение интегрируемо и допускает пару Лакса. Уравнение LPD является обобщением нелинейного уравнения Шредингера (NLS) и описывается системой Абловица-Каупа-Ньюэлла-Сегура (AKNS). С помощью метода синус-косинуса и метода гиперболического тангенса получен ряд новых точных решений. Эти методы являются эффективным средством поиска точных решений нелинейных дифференциальных уравнений в частных производных в математической физике. Полученные решения оказались важными для объяснения некоторых практических физических задач.,27. Математика
76,"В работе рассматриваются функции распределения расстояния между двумя независимыми и равномерно распределенными случайными точками, а также длины хорды в ограниченном выпуклом домене D. Используя ряд известных фактов, выводится явный вид функций распределения длины хорды и плотности для ограниченных выпуклых доменов с гладкой границей, а также явный вид функции плотности расстояния между двумя точками.",00. Общественные науки в целом
77,"В работе исследуется задача о динамике мерзлого грунта при изменении внешней температуры на границе рассматриваемой физической области. Согласно общепринятой схеме, независимо предложенной Р. Барриджем и Дж. Келлером и Э. Санчес-Паленсией в 1980 году, в первую очередь формулируется микроскопическая математическая модель, описывающая физический процесс на микроскопическом уровне уравнениями классической механики Ньютона сплошных сред. Естественным малым параметром здесь является средний безразмерный диаметр пор твердого скелета грунта. В этой модели изменение температуры среды регулируется задачей Стефана, а динамика жидкости в порах абсолютно твердого скелета грунта подчинена уравнениям Стокса для вязкой несжимаемой жидкости. Вторым и основным моментом метода является вывод макроскопических уравнений физического процесса, получающихся предельным переходом при стремлении малого параметра к нулю (усреднении). Целью настоящей работы является вывод макроскопических уравнений (усреднение), описывающих динамику мерзлого грунта, с помощью метода двух-масштабного разложения.",27. Математика
78,"В цилиндре Q, основание которого ограничено ляпуновской поверхностью, рассматривается параболическое уравнение второго порядка, вырождающееся по касательным направлениям к границе основания. Для решений этого уравнения по аналогии с эллиптическим случаем вводится класс Hp. Установлен критерий принадлежности функций этому классу. Приводятся условия однозначной разрешимости задачи с граничными и начальными условиями, понимаемыми в смысле Lp.",27. Математика
79,"Рассмотрена система n уравнений Эйлера - Пуассона - Дарбу в матричной записи, матрица-коэффициент которой имеет одно собственное значение кратности n или пару комплексно-сопряженных собственных значений кратности n/2 с действительной частью из интервала (1/2, 1). Вследствие сингулярности на нехарактеристической линии Задача Коши в классической постановке для этой системы является некорректной. Сформулирован аналог задачи Коши с весом, компенсирующим эту особенность. Путем замены переменных матричный коэффициент системы приведен к нормальной жордановой форме, представляющей собой одну жорданову клетку для случая действительных собственных значений и вещественный аналог жордановой клетки порядка n для случая комплексно-сопряженных собственных значений. Методом Римана с использованием аппарата функций от матрицы получены решения поставленной задачи и сформулированы теоремы корректности.",27. Математика
80,"Методом самораспространяющегося высокотемпературного синтеза получены нанокристаллы твердых растворов ZnSxSe1-x. Полученная шихта представляет собой объединение нанокристаллов и поликристаллов. Поликристаллы образуются из-за высокой температуры реакции и невозможности мгновенного отведения тепла. Присутствует нелинейная зависимость заложенной шихты до синтеза и полученного после синтеза порошка. Рассчитаны размеры нанокристаллов ZnSxSe1-x методом Дебая - Шеррера. Максимальные размеры составили для сульфида и селенида цинка 80 ± 5 нм и для всех остальных составов 60 ± 5 нм. Полученные нами степени микронапряжения и плотности дислокаций в нанокристаллах ZnSxSe1-x характерны для однородных составов с высоким совершенством кристаллической структуры. Нанокристаллы для всех параметров x характеризуются присутствием гексагональной и кубической фазы. При уменьшении параметра x в нанокристаллах твердых растворов ZnSxSe1-x доля кубической фазы возрастает. Локальное окружение примесных ионов Mn2+ зависит от состава твердого раствора. В ZnSxSe1-x состава 0.4 ≤ x ≤ 1 ионы Mn2+ окружены ионами серы с константой сверхтонкой структуры A = 6.88÷6.91 мТл, а в составах с x ≤ 0.2 ионы Mn2+ находятся в окружении ионов селена с константой сверхтонкой структуры = 6.55 мТл. В неосвещенных нанокристаллах ZnSxSe1-x составов 0.8 ≤ x ≤ 1 присутствует одиночная линия электронного парамагнитного резонанса (ЭПР) ионов Cr+ с фактором g = 1.9998.",29. Физика
81,"Экспериментально исследован фотогальванический эффект в симметричной, без ориентирующих покрытий, нематической ячейке с азокрасителем метиловым красным. Показано, что без внешнего электрического поля, под действием света ячейка генерирует электрический ток (~ 10-8A/cm2), зависящий от спектра облучения, на два порядка больше тока нематической ячейки без красителя при тех же условиях облучения. Полярность фототока зависит от направления освещения ячейки. Анализ температурной зависимости фототока указывает на возможный активационный механизм переноса носителей заряда с энергией активации 0,7 - 2 эВ для разных толщин нематической ячейки. Предполагается, что имеют место, как минимум, два зарядовых процесса с характерными временами, различающимися на несколько порядков. Первый связывается с фотоэффектом в прозрачных электродах In2O3, тогда как, второй обусловлен пространственным разделением зарядов и носит диффузионный характер. Установлено влияние фазового перехода на фототок, как в ячейке с чистым нематиком, так и в нематических ячейках с метиловым красным, что обусловлено возникновением сильно рассеивающего переходного состояния жидкого кристалла.",29. Физика
82,"Представлены инструментарий и метод приведения к замкнутому виду последовательностей целых чисел, относящихся к классу факториал-производящих рекурсий. Определены признаки и свойства модифицированной факториал-производящей рекурсии одной и двух переменных. Наиболее известной факториал-производящей рекурсией двух переменных является последовательность чисел Стирлинга первого рода. Для синтеза аналитической модели рекурсии применяются модифицированные гипергармонические числа. Выявлены преимущества данных чисел для построения замкнутых форм факториал-производящих рекурсий. Синтезирована неполная замкнутая форма последовательности чисел Стирлинга первого рода.",27. Математика
83,"Рассмотрены основные виды алгоритмических закладок. Представлен способ построения асимметричных клептографических закладок в генераторе ключей RSA, позволяющий владельцу ключа закладки (разработчику или авторизованной спецслужбе) получать доступ к пользовательскому ключу, сгенерированному инфицированным алгоритмом. Сформулированы теоремы, иллюстрирующие работоспособность описанных алгоритмов, оценена вычислительная сложность этих алгоритмов. Продемонстрирована стойкость построенных закладок к некоторым классам атак даже при условии, что противник знает используемые методы и имеет доступ к исходному коду ключевого генератора.",27. Математика
84,"Рассматривается задача стегоанализа цифровых изображений. Предложен подход, предусматривающий разбиение входного изображения большого размера на небольшие неперекрывающиеся блоки и проведение последовательного стегоанализа этих блоков с помощью относительно простых свёрточных сетей с модифицированной архитектурой, включающей слои специальной обработки. После этого в ходе вторичной постобработки проводится объединение получаемой совокупности результатов классификации блоков как последовательности бинарных ответов по схеме наивного байесовского классификатора, в том числе, при необходимости, с учётом потенцильной заполняемости блоков. В качестве средств дополнительной специальной обработки изображений в свёрточных сетях предлагается использовать так называемые интегральные гетероассоциативные преобразования, обеспечивающие выделение на обрабатываемом блоке изображения оценочной и стохастической (маскирующей) составляющих на основе модели прогноза одной части блока по отношению к другой и направленные на выявление нарушения структурных и статистических свойств изображений после внедрения стегосообщения. Такие преобразования включаются в архитектуру обучаемых нейронных сетей в качестве дополнительного слоя. Рассмотрены альтернативные варианты архитектуры используемых глубоких нейронных сетей как с использованием слоя интегрального гетероассоциативного преобразования, так и без него. Исследования проведены для базы цветных изображений PPG-LIRMM-COLOR base и нескольких алгоритмов стегоскрытия, включая классические блочные и блочноспектральные алгоритмы Куттера, Коха - Жао, более современные алгоритмы EMD, MBEP и алгоритмы адаптивной пространственной стеганографии WOW и S-UNIWARD, обладающие высокой степенью скрытности для стегоанализа. Рассмотрены также разработанные авторами алгоритмы стегоскрытия данных, основанные на использовании гетероассоциативных сжимающих преобразований. Показано, что получаемая при реализации предложенных схем обработки информации точность стегоанализа для изображений большого размера при достаточно скромных вычислительных затратах сопоставима с результатами, полученными другими авторами, а в некоторых случаях и превосходит их.",00. Общественные науки в целом
85,"Доказано, что любую неконстантную булеву функцию от n переменных можно реализовать неизбыточной схемой из функциональных элементов в базисе {&, ⊕,¬}, допускающей при n ≥ 3 единичный проверяющий тест длины не более 6n - 10 относительно произвольных неисправностей элементов.",27. Математика
86,"Матрично-графовый подход применяется для оценки множества существенных и нелинейных переменных координатных функций произведения преобразований векторных пространств. Для существенных переменных оценки получаются с помощью умножения двоичных перемешивающих матриц (или орграфов) умножаемых преобразований, для нелинейных переменных - с помощью умножения троичных матриц нелинейности умножаемых преобразований или соответствующих им орграфов нелинейности, дуги которых помечены числами множества {0,1, 2}. Для степеней заданного преобразования область нетривиальных оценок ограничена: для множества существенных переменных - экспонентом перемешивающей матрицы (орграфа); для множества нелинейных переменных- 〈2〉-экспонентом матрицы (орграфа) нелинейности. Для класса преобразований двоичных регистров сдвига получена достижимая оценка 〈2〉-экспонентов, выраженная через длину регистра сдвига и множества номеров существенных и нелинейных переменных функции обратной связи. Для регистровых преобразований, орграф нелинейности которых имеет петлю, получена точная формула 〈2〉-экспонента. Результаты могут быть использованы для оценки характеристик нелинейности криптографических функций, построенных на основе итераций регистровых преобразований.",27.45. Математика / Комбинаторный анализ. Теория графов
87,"Имея список L(v) для каждой вершины v, мы говорим, что граф G является L-раскрашиваемым, если существует правильная раскраска вершин графа G, где каждая вершина v берет свой цвет из L(v). Граф однозначно раскрашивается k-списком, если существует назначение списка L такое, что |L(v) | = k для каждой вершины v, и граф имеет ровно одну L-раскраску с этими списками. Если граф G не является однозначно раскрашиваемым k-списком, мы также говорим, что G обладает свойством M(k). Наименьшее целое число k, для которого G обладает свойством M(k), называется m-числом группы G и обозначается m(G). В этой статье мы характеризуем единственную списочную раскрашиваемость графа G = Kn2 + Kr. В частности, мы определяем номер m(G) графа G = Kn2 + Kr.",27. Математика
88,"Проблема вхождения в конечно порождённую подгруппу (подполугруппу) для групп (полугрупп) является классической алгоритмической проблемой в алгебре, активно изучаемой многие десятилетия. Уже для достаточно простых групп и полугрупп эта проблема становится неразрешимой. Например, К. А. Михайлова в 1966 г. доказала неразрешимость проблемы вхождения в конечно порождённые подгруппы и, следовательно, подполугруппы для прямого произведения F2×F2 двух свободных групп ранга 2. Так как по известной теореме Санова группа F2 имеет точное представление целочисленными матрицами порядка 2, группа F2×F2 является подгруппой группы GL4(ℤ) целочисленных матриц порядка 4. Отсюда легко следует неразрешимость рассматриваемой проблемы для группы GLk(ℤ) при k ≥ 4. Неразрешимость проблемы вхождения в подполугруппы полугрупп целочисленных матриц порядка ≥ 3 следует из результата М. Патерсона 1970 г. В данной работе предлагается сильно генерический алгоритм, решающий проблему вхождения в подполугруппы полугрупп целочисленных матриц произвольного порядка для подмножества входов, последовательность относительных плотностей которого при увеличении размера экспоненциально быстро сходится к 1.",27. Математика
89,"Рассматривается задача построения синтаксических анализаторов по синтаксическим диаграммам с многовходовыми компонентами (СД). Предлагается основанный на алгоритме GLL алгоритм построения синтаксического анализатора, результатом работы которого является компактное преставление леса разбора входной цепочки. Предложенный алгоритм позволяет строить синтаксические анализаторы по СД произвольной структуры и не требует предварительных преобразований СД. Построенные синтаксические анализаторы могут применяться для анализа любых контекстно-свободных языков, включая недетерминированные и неоднозначные. Вводятся понятия «дерево вывода» и «лес разбора» для СД, описываются структуры данных, используемые анализатором, такие, как стек с графовой структурой, дескриптор синтаксического анализатора, компактное представление леса разбора. Описывается алгоритм построения синтаксических анализаторов по СД и приводится пример построения такого анализатора.",50. Автоматика. Вычислительная техника
90,"Наш главный вклад — эффективная реализация алгоритмов подсчета точек Годри — Шоста и Гэлбрейта — Рупрая на якобианах гиперэллиптических кривых. Оба они являются вариантами алгоритма Matsuo-Chao-Tsujii (MCT) Baby-Step, похожего на Giant-Step, с малым объемом памяти. Мы представляем оптимальное ограничение памяти (компромисс между временем и памятью), которое минимизирует время выполнения алгоритмов. Этот компромисс позволяет нам приблизиться в практических расчетах к теоретическим границам ожидаемого времени выполнения при 2,45√N и 2,38a√N для алгоритмов Годри-Шоста и Гэлбрейта-Рупрая соответственно. Здесь N - размер двумерного пространства поиска, который равен порядку группы Якоби, деленному на малый модуль m, предварительно вычисленный с использованием других методов. Наша реализация выигрывает от многопоточного режима, и мы предоставляем некоторую статистику производительности при работе с входными данными разного размера. Это первая параллельная реализация двумерного алгоритма Гэлбрейта-Рупрая с открытым исходным кодом.",27. Математика
91,"Описываются два метода построения максимальных гиперэллиптических кривых рода три над конечным полем, т. е. кривых, число точек на которых достигает верхнюю границу Хассе - Вейля - Серра. Рассматриваются кривые с уравнением y2 = x7 +ax4 +bx, допускающие декомпозицию на эллиптические кривые. В основе первого метода - построение пары суперсингулярных эллиптических кривых над простым полем, j-инвариант одной из которых равен 1728 или 0, а j-инвариант другой кривой также известен. По построенным эллиптическим кривым строится искомая максимальная гиперэллиптическая кривая над подходящим расширением простого поля. Этот метод не исчерпывает всех максимальных кривых, но даёт весьма эффективный алгоритм построения некоторых их семейств. Второй метод основан на факторизации многочленов Лежандра, которые представляют собой инварианты Хассе соответствующих эллиптических кривых в декомпозиции якобиана. Метод позволяет построить все возможные максимальные кривые для случая b = 1 и поля Fp2 , и мы применяем его для построения всех максимальных кривых для p 7151 и a = 0.",27.17. Математика / Алгебра
92,"В полном графе с вершинами 1,2,...,n вершины 2,3,...,n снабжены независимыми случайными метками, принимающими значения из конечного множества AN . Рассматривается совокупность всех цепей по s смежных рёбер, каждая из которых выходит из вершины 1 и не проходит через одну и ту же вершину дважды. Каждой цепи соответствует s-цепочка из случайных меток пройденных вершин. Рассматривается U-статистика Uk(s) с ядром, зависящим от k таких s-цепочек. Число k 2 считается фиксированным, а s 1 может меняться. Установлено, что достаточным условием асимптотической нормальности Uk(s) (при обычной стандартизации) является условие вида DUk(s) Cn2(ks' -1)+к, где C, к > 0.",27.43. Математика / Теория вероятностей и математическая статистика
93,"Необходимым требованием к системе шифрования является достаточно большой порядок группы, которая ассоциируется с шифром (то есть порождается подстановками шифра). В связи с этим представляет интерес величина р(п), оценивающая порядки циклических групп подстановок степени n, в том числе циклических групп, порождённых шифрующими подстановками. Известно, что порядок подстановки равен наименьшему общему кратному длин её циклов. Однако мало изучена функция р(п), принимающая значения, равные наибольшему порядку подстановки степени п. Показана монотонность функции р(п), получена двухсторонняя оценка её значений: IL(n) Р(п) [\/‘2(п 1^|!, где Щ n произ ведение всех первых (в порядке возрастания) простых чисел, сумма которых не больше n. Получена асимптотическая оценка нижней границы при больших n: д(п) > 224k!(1,665)k(lnk)(k-15)/2 при любом п > 1000 и k = |_^2n/ln п^.",27. Математика
94,"Предложен комбинированный подход к поиску булевых функций с высокой алгебраической иммунностью на основе эвристических методов, в частности генетического алгоритма и алгоритма Hill Climbing. Для булевых функций от n 8 переменных проведены вычислительные эксперименты, продемонстрировавшие эффективность предлагаемого подхода.",27. Математика
95,"Пусть п - перестановка n элементов, f - булева функция от n переменных. Рассмотрим векторную булеву функцию Fn : F? F? вида Fn(x) = (f(x), f(n(x)), ••• , f(nn-1(x))). Изучается компонентная алгебраическая иммунность функции Fn в зависимости от булевой функции f и перестановки п при n = 3, 4, 5. Получены полные множества булевых и частичные векторных булевых функций с максимальной алгебраической иммунностью от малого числа переменных.",27. Математика
